127.0.0.1 - - [22/Dec/2020:10:49:32 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:49:38 +0900] "GET /project/ HTTP/1.1" 200 9947
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:49:39 +0900] "GET /project/resources/js/popper.min.js HTTP/1.1" 200 20355
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:49:39 +0900] "GET /project/resources/css/swiper.min.css HTTP/1.1" 200 19785
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:49:39 +0900] "GET /project/resources/js/jquery-3.3.1.js HTTP/1.1" 200 282113
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:49:39 +0900] "GET /project/resources/themes/bootstrap-stars.css HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:49:39 +0900] "GET /project/resources/themes/fontawesome-stars.css HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:49:39 +0900] "GET /project/resources/css/common.css HTTP/1.1" 200 17297
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:49:39 +0900] "GET /project/resources/js/sockjs.js HTTP/1.1" 200 186766
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:49:39 +0900] "GET /project/resources/js/jquery.barrating.min.js HTTP/1.1" 200 5827
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:49:39 +0900] "GET /project/resources/ckeditor/ckeditor.js HTTP/1.1" 200 696395
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:49:39 +0900] "GET /project/resources/js/swiper.min.js HTTP/1.1" 200 120757
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:49:39 +0900] "GET /project/resources/js/parsley-2.8.1.js HTTP/1.1" 200 95808
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:49:39 +0900] "GET /project/resources/js/common.js HTTP/1.1" 200 35773
0:0:0:0:0:0:0:1 - - [22/Dec/2020:10:49:39 +0900] "GET /project/resources/images/btn_search3.gif HTTP/1.1" 200 1818
